hvrecid,permitno,nocatch,nohrvrpt,harvdate,location,pots,soaktime,shrimp,keyid,keydate,year,comments,mailing,stat_area
115156,806,0,0,6/4/2019,cochran,3,10,4,ADFG WEB,8/30/2019,2019,,4,
115157,819,0,0,6/4/2019,Valdez narrows,3,24,2,ADFG WEB,10/15/2019,2019,,4,
115158,940,0,0,6/4/2019,Deep Water Bay,3,10,2,ADFG WEB,10/15/2019,2019,,4,
115159,998,0,0,6/4/2019,jack,3,16,3,ADFG WEB,9/29/2019,2019,,4,
115160,2437,0,0,6/5/2018,unakwik,12,5,7.5,ADFG WEB,8/28/2019,2019,,4,
115161,1049,0,0,6/5/2019,heather bay,3,72,2,ADFG WEB,9/10/2019,2019,,4,
115162,1106,0,0,6/5/2019,blackstone bay midway up,3,24,3,ADFG WEB,9/17/2019,2019,,4,
115163,127,0,0,6/5/2019,Blackstone bay,3,24,24,ADFG WEB,8/4/2019,2019,,4,
115164,1271,0,0,6/5/2019,Port Wells,3,9,6.5,ADFG WEB,9/15/2019,2019,,4,
115165,1298,0,0,6/5/2019,Pigot Bay,3,13,1,ADFG WEB,10/6/2019,2019,,4,
115166,1318,0,0,6/5/2019,bettles bay,3,8,5,ADFG WEB,9/27/2019,2019,,4,
115167,1397,0,0,6/5/2019,Blackstone,3,18,2,ADFG WEB,9/15/2019,2019,,4,
115168,1435,0,0,6/5/2019,Blue Fiord,3,24,2,ADFG WEB,9/5/2019,2019,,4,
115169,1527,0,0,6/5/2019,Eshamy Bay,3,48,1,ADFG WEB,9/13/2019,2019,,4,
115170,1542,0,0,6/5/2019,Log Camp Bay,3,96,1,ADFG WEB,9/12/2019,2019,,4,
115171,1724,0,0,6/5/2019,vdz,3,48,2,ADFG WEB,10/2/2019,2019,,4,
115172,1738,0,0,6/5/2019,Cochrane Bay near 3-Finger cove,2,24,1,ADFG WEB,7/24/2019,2019,,4,
115173,1798,0,0,6/5/2019,Port Valdez,3,24,1,ADFG WEB,9/10/2019,2019,,4,
115174,1812,0,0,6/5/2019,Wells Bay,3,24,2,ADFG WEB,9/25/2019,2019,,4,
115175,182,0,0,6/5/2019,LONG BAY,3,288,3,ADFG WEB,9/19/2019,2019,,4,
115176,2184,0,0,6/5/2019,Blue Fjords,3,24,3,ADFG WEB,8/5/2019,2019,,4,
115177,2349,0,0,6/5/2019,Valdez Narrows,3,24,3,ADFG WEB,10/5/2019,2019,,4,
115178,249,0,0,6/5/2019,Egg Rock,3,14,5,ADFG WEB,10/13/2019,2019,,4,
115179,250,0,0,6/5/2019,Bettles Bay,3,5,0.1,ADFG WEB,9/11/2019,2019,,4,
115180,2508,0,0,6/5/2019,Valdez Harbor,1,24,0.5,ADFG WEB,6/26/2019,2019,,4,
115181,2563,0,0,6/5/2019,Shotgun Cove,3,6,1.5,ADFG WEB,10/11/2019,2019,,4,
115182,2572,0,0,6/5/2019,Culross Passage,3,27,1.5,ADFG WEB,9/10/2019,2019,,4,
115183,2579,0,0,6/5/2019,Unakwik,3,14,2,ADFG WEB,9/30/2019,2019,,4,
115184,2581,0,0,6/5/2019,Blackstone Bay,3,24,2,ADFG WEB,9/16/2019,2019,,4,
115185,277,0,0,6/5/2019,Blackstone,3,48,5,ADFG WEB,10/4/2019,2019,,4,
115186,33,0,0,6/5/2019,Port Nellie Juan,3,12,4,ADFG WEB,9/8/2019,2019,,4,
115187,376,0,0,6/5/2019,Cochran bay,3,24,1,ADFG WEB,10/6/2019,2019,,4,
115188,434,0,0,6/5/2019,Unaquik bay,3,8,2,ADFG WEB,9/6/2019,2019,,4,
115189,471,0,0,6/5/2019,Nellie Juan,3,24,10,ADFG WEB,8/8/2019,2019,,4,
115190,508,0,0,6/5/2019,Blackstone bay,3,6,0.5,ADFG WEB,10/1/2019,2019,,4,
115191,619,0,0,6/5/2019,Valdez Narrows,3,144,1.5,ADFG WEB,9/4/2019,2019,,4,
115192,668,0,0,6/5/2019,Valdez,3,48,1,ADFG WEB,10/8/2019,2019,,4,
115193,738,0,0,6/5/2019,Perry island,3,14,4,ADFG WEB,9/20/2019,2019,,4,
115194,819,0,0,6/5/2019,Valdez narrows,3,24,1.5,ADFG WEB,10/15/2019,2019,,4,
115195,828,0,0,6/5/2019,West of Poe Bay,3,48,3,ADFG WEB,9/29/2019,2019,,4,
115196,838,0,0,6/5/2019,Port Valdez,3,24,0.5,ADFG WEB,10/15/2019,2019,,4,
115197,924,0,0,6/5/2019,Culross,3,6,1,ADFG WEB,9/10/2019,2019,,4,
115198,924,0,0,6/5/2019,Pigot,3,18,5,ADFG WEB,9/10/2019,2019,,4,
115199,940,0,0,6/5/2019,Culross Pass,3,6,1,ADFG WEB,10/15/2019,2019,,4,
115200,950,0,0,6/5/2019,passage canal,3,48,4,ADFG WEB,9/26/2019,2019,,4,
115201,98,0,0,6/6/2010,Cochran Bay,3,8,3,ADFG WEB,9/19/2019,2019,,4,
115202,1098,0,0,6/6/2019,Pigot Bay,3,24,1,ADFG WEB,10/6/2019,2019,,4,
115203,1106,0,0,6/6/2019,west twin bay,3,12,2,ADFG WEB,9/17/2019,2019,,4,
115204,1120,0,0,6/6/2019,"Valdez Narrows, along falls SW of Shoup Bay",3,96,2.5,ADFG WEB,9/25/2019,2019,,4,
115205,1219,0,0,6/6/2019,"Hobo Bay, Port Wells",3,22,9.5,ADFG WEB,7/30/2019,2019,,4,
115206,1255,0,0,6/6/2019,Unakwik,3,8,2,ADFG WEB,10/9/2019,2019,,4,
115207,127,0,0,6/6/2019,Blackstone bay,3,12,10,ADFG WEB,8/4/2019,2019,,4,
115208,1298,0,0,6/6/2019,Pigot Bay,3,8,3,ADFG WEB,10/6/2019,2019,,4,
115209,1435,0,0,6/6/2019,Blue Fiord,3,24,2,ADFG WEB,9/5/2019,2019,,4,
115210,1634,0,0,6/6/2019,Black stone,3,12,2,ADFG WEB,9/29/2019,2019,,4,
115211,1707,0,0,6/6/2019,Heather bay,3,12,0.05,ADFG WEB,9/15/2019,2019,,4,
115212,204,0,0,6/6/2019,Cannery Creek Hatchery,2,8,3,ADFG WEB,10/7/2019,2019,,4,
115213,2130,0,0,6/6/2019,port wells,3,4,0.02,ADFG WEB,7/30/2019,2019,,4,
115214,2131,0,0,6/6/2019,"Cochran Bay, East side",3,5,1.5,ADFG WEB,9/2/2019,2019,,4,
115215,2184,0,0,6/6/2019,Blue Fjords,3,24,4,ADFG WEB,8/5/2019,2019,,4,
115216,2281,0,0,6/6/2019,Gold creek,3,12,1,ADFG WEB,10/8/2019,2019,,4,
115217,2349,0,0,6/6/2019,Valdez Narrows,3,24,1,ADFG WEB,10/5/2019,2019,,4,
115218,2379,0,0,6/6/2019,port of Valdez,3,24,0.5,ADFG WEB,8/27/2019,2019,,4,
115219,2438,0,0,6/6/2019,Green Island,3,24,7,ADFG WEB,9/13/2019,2019,,4,
115220,249,0,0,6/6/2019,Egg Rock,3,16,3.5,ADFG WEB,10/13/2019,2019,,4,
115221,250,0,0,6/6/2019,McClure Bay,3,16,0.5,ADFG WEB,9/11/2019,2019,,4,
115222,2508,0,0,6/6/2019,Valdez Harbor,1,24,0.75,ADFG WEB,6/26/2019,2019,,4,
115223,2526,0,0,6/6/2019,Port Nellie Juan,3,8,4,ADFG WEB,9/14/2019,2019,,4,
115224,2579,0,0,6/6/2019,Unakwik,3,12,1.5,ADFG WEB,9/30/2019,2019,,4,
115225,2581,0,0,6/6/2019,Blackstone Bay,3,5,1,ADFG WEB,9/16/2019,2019,,4,
115226,259,1,0,6/6/2019,McPherson Bay,3,12,0,ADFG WEB,10/12/2019,2019,,4,
115227,2621,0,0,6/6/2019,Cochrane bay,3,10,3,ADFG WEB,10/15/2019,2019,,4,
115228,290,0,0,6/6/2019,Anderson Glacier,3,48,5,ADFG WEB,10/12/2019,2019,,4,
115229,33,0,0,6/6/2019,Port Nellie Juan,3,12,2.5,ADFG WEB,9/8/2019,2019,,4,
115230,373,0,0,6/6/2019,Long Bay,3,10,0.5,ADFG WEB,8/30/2019,2019,,4,
115231,460,0,0,6/6/2019,Passage Canal,3,3,2,ADFG WEB,9/16/2019,2019,,4,
115232,471,0,0,6/6/2019,Nellie Juan,3,24,2,ADFG WEB,8/8/2019,2019,,4,
115233,558,0,0,6/6/2019,Shotgun Cove,3,312,2,ADFG WEB,10/6/2019,2019,,4,
115234,562,0,0,6/6/2019,Glacier Bay,3,7,2,ADFG WEB,9/13/2019,2019,,4,
115235,581,0,0,6/6/2019,Pt Cochrane,1,900,37.5,ADFG WEB,9/11/2019,2019,,4,
115236,625,0,0,6/6/2019,Valdez Narrows,3,48,3,ADFG WEB,9/18/2019,2019,,4,
115237,69,0,0,6/6/2019,Nellie Juan,3,24,1,ADFG WEB,9/5/2019,2019,,4,
115238,717,0,0,6/6/2019,port wells,3,12,3,ADFG WEB,10/3/2019,2019,,4,
115239,738,0,0,6/6/2019,Perry island,3,8,3,ADFG WEB,9/20/2019,2019,,4,
115240,819,0,0,6/6/2019,Valdez narrows,3,24,1,ADFG WEB,10/15/2019,2019,,4,
115241,82,0,0,6/6/2019,Port of Wells,3,12,1,ADFG WEB,9/16/2019,2019,,4,
115242,838,0,0,6/6/2019,Port Valdez,3,96,0.3,ADFG WEB,10/15/2019,2019,,4,
115243,903,0,0,6/6/2019,cul ross pass,3,8,1,ADFG WEB,9/19/2019,2019,,4,
115244,924,0,0,6/6/2019,Culross,3,16,2.5,ADFG WEB,9/10/2019,2019,,4,
115245,950,0,0,6/6/2019,passage canal,3,24,4,ADFG WEB,9/26/2019,2019,,4,
115246,981,0,0,6/6/2019,Port Nellie Juan,2,14,1,ADFG WEB,9/4/2019,2019,,4,
115247,1042,0,0,6/7/2019,passage canal,3,120,5,ADFG WEB,9/29/2019,2019,,4,
115248,1171,0,0,6/7/2019,"Mummy Bay, Knight Island",3,24,4,ADFG WEB,9/30/2019,2019,,4,
115249,1219,0,0,6/7/2019,"Hobo Bay, Port Wells",3,15,5,ADFG WEB,7/30/2019,2019,,4,
115250,1251,0,0,6/7/2019,Port Nellie Juan,3,48,2,ADFG WEB,9/21/2019,2019,,4,
115251,1295,0,0,6/7/2019,"Perry Island, West Twin Bay",3,12,2,ADFG WEB,10/14/2019,2019,,4,
115252,1372,0,0,6/7/2019,Culross Passage,3,72,2,ADFG WEB,9/13/2019,2019,,4,
115253,1435,0,0,6/7/2019,Blue Fiord,3,24,2,ADFG WEB,9/5/2019,2019,,4,
115254,15,0,0,6/7/2019,Blackstone Bay,3,5,3,ADFG WEB,9/26/2019,2019,,4,
115255,1500,0,0,6/7/2019,CULROSE PASSAGE,3,10,0.5,ADFG WEB,9/23/2019,2019,,4,
115256,1707,0,0,6/7/2019,Long bay,3,12,1,ADFG WEB,9/15/2019,2019,,4,
115257,1723,0,0,6/7/2019,Pigot Bay,3,72,3.25,ADFG WEB,9/16/2019,2019,,4,
115258,1724,0,0,6/7/2019,vdz,3,48,2,ADFG WEB,10/2/2019,2019,,4,
115259,1764,0,0,6/7/2019,Cochran Bay,3,12,1,ADFG WEB,8/8/2019,2019,,4,
115260,1798,0,0,6/7/2019,Port Valdez,3,48,1,ADFG WEB,9/10/2019,2019,,4,
115261,1825,0,0,6/7/2019,Passage canal,3,120,2,ADFG WEB,10/15/2019,2019,,4,
115262,1870,0,0,6/7/2019,Cullross Bay,3,16,2,ADFG WEB,9/11/2019,2019,,4,
115263,2002,0,0,6/7/2019,Hobo bay,3,4,1,ADFG WEB,8/30/2019,2019,,4,
115264,204,0,0,6/7/2019,Cannery Creek Hatchery,2,12,4.25,ADFG WEB,10/7/2019,2019,,4,
115265,2053,0,0,6/7/2019,esther island,3,72,6,ADFG WEB,9/2/2019,2019,,4,
115266,2077,0,0,6/7/2019,Pigot Bay,3,4,3.5,ADFG WEB,9/11/2019,2019,,4,
115267,2131,0,0,6/7/2019,"Cochran Bay, east side",3,26,2,ADFG WEB,9/2/2019,2019,,4,
115268,2184,0,0,6/7/2019,Blue Fjords,3,24,6,ADFG WEB,8/5/2019,2019,,4,
115269,2194,0,0,6/7/2019,Wells Passage  Bettles bay,3,16,2,ADFG WEB,9/20/2019,2019,,4,
115270,2315,1,0,6/7/2019,1 mile west of Ferry Terminal,3,48,0,ADFG WEB,8/29/2019,2019,,4,
115271,249,0,0,6/7/2019,Mink Island,3,16,2.5,ADFG WEB,10/13/2019,2019,,4,
115272,2508,0,0,6/7/2019,Valdez Harbor,1,24,1,ADFG WEB,6/26/2019,2019,,4,
115273,261,0,0,6/7/2019,Pt Wells/Golden,3,8,1,ADFG WEB,9/21/2019,2019,,4,
115274,2621,0,0,6/7/2019,Cochrane bay,3,24,6,ADFG WEB,10/15/2019,2019,,4,
115275,2675,0,0,6/7/2019,Pigot,3,6,2,ADFG WEB,9/27/2019,2019,,4,
115276,367,0,0,6/7/2019,Jackpot Bay,3,23,2,ADFG WEB,10/4/2019,2019,,4,
115277,373,0,0,6/7/2019,Long Bay,3,12,1,ADFG WEB,8/30/2019,2019,,4,
115278,460,0,0,6/7/2019,Hidden Bay,3,20,4,ADFG WEB,9/16/2019,2019,,4,
115279,475,0,0,6/7/2019,Passage cannel,3,48,3,ADFG WEB,9/29/2019,2019,,4,
115280,544,0,0,6/7/2019,Pigot,3,72,3,ADFG WEB,9/16/2019,2019,,4,
115281,562,0,0,6/7/2019,Glacier Bay,3,8,2,ADFG WEB,9/13/2019,2019,,4,
115282,629,0,0,6/7/2019,Blackstone Bay,3,4,1,ADFG WEB,9/17/2019,2019,,4,
115283,668,0,0,6/7/2019,Valdez,3,48,1.5,ADFG WEB,10/8/2019,2019,,4,
115284,717,0,0,6/7/2019,port wells,3,18,6,ADFG WEB,10/3/2019,2019,,4,
115285,738,0,0,6/7/2019,Applegate island,3,8,3,ADFG WEB,9/20/2019,2019,,4,
115286,776,0,0,6/7/2019,Passage Canal,2,76,2,ADFG WEB,10/3/2019,2019,,4,
115287,806,0,0,6/7/2019,cochran,3,71,7,ADFG WEB,8/30/2019,2019,,4,
115288,819,0,0,6/7/2019,Valdez narrows,3,24,3,ADFG WEB,10/15/2019,2019,,4,
115289,82,0,0,6/7/2019,Port Nelle Juan,3,11,3,ADFG WEB,9/16/2019,2019,,4,
115290,82,0,0,6/7/2019,Port Nellie Juan,3,10,4,ADFG WEB,9/16/2019,2019,,4,
115291,833,1,0,6/7/2019,Eshemy Bay,3,17,0,ADFG WEB,10/12/2019,2019,,4,
115292,903,0,0,6/7/2019,cul ross pass,3,8,2,ADFG WEB,9/19/2019,2019,,4,
115293,924,0,0,6/7/2019,Suprise,3,6,1,ADFG WEB,9/10/2019,2019,,4,
115294,950,0,0,6/7/2019,passage canal,3,24,2.5,ADFG WEB,9/26/2019,2019,,4,
115295,961,0,0,6/7/2019,Blackstone Bay,3,9,1,ADFG WEB,9/14/2019,2019,,4,
115296,98,0,0,6/7/2019,Cochran Bay,3,24,4,ADFG WEB,9/19/2019,2019,,4,
115297,1018,0,0,6/8/2019,Shotgun Cove,3,48,1,ADFG WEB,8/9/2019,2019,,4,
115298,1042,0,0,6/8/2019,pigot bay,3,12,5,ADFG WEB,9/29/2019,2019,,4,
115299,1049,0,0,6/8/2019,heather bay,3,72,2,ADFG WEB,9/10/2019,2019,,4,
115300,1054,0,0,6/8/2019,Passage canal,3,24,4,ADFG WEB,10/8/2019,2019,,4,
115301,1090,0,0,6/8/2019,Squaw Bay,2,10,2,ADFG WEB,9/23/2019,2019,,4,
115302,1095,0,0,6/8/2019,Black Stone Bay,3,10,2,ADFG WEB,9/29/2019,2019,,4,
115303,1174,0,0,6/8/2019,Blackstone bay,3,9,2,ADFG WEB,10/10/2019,2019,,4,
115304,1180,1,0,6/8/2019,port wells,3,20,2,ADFG WEB,9/30/2019,2019,,4,
115305,1295,0,0,6/8/2019,"Perry Island, West Twin Bay",3,26,1,ADFG WEB,10/14/2019,2019,,4,
115306,1328,0,0,6/8/2019,Ester Bay,3,7,2,ADFG WEB,10/7/2019,2019,,4,
115307,1342,0,0,6/8/2019,Colrose island,3,8,5,ADFG WEB,9/5/2019,2019,,4,
115308,14,0,0,6/8/2019,Blackstone Bay,3,48,1,ADFG WEB,10/6/2019,2019,,4,
115309,1413,0,0,6/8/2019,West port wells,3,12,3,ADFG WEB,9/22/2019,2019,,4,
115310,1435,0,0,6/8/2019,Blue Fiord,3,12,3,ADFG WEB,9/5/2019,2019,,4,
115311,15,0,0,6/8/2019,Gradual Point,3,4,1.5,ADFG WEB,9/26/2019,2019,,4,
115312,15,0,0,6/8/2019,Shotgun Cove,3,12,2,ADFG WEB,9/26/2019,2019,,4,
115313,1500,0,0,6/8/2019,ESTER ISLAND PORT WELLS SIDE,3,8,2,ADFG WEB,9/23/2019,2019,,4,
115314,1527,0,0,6/8/2019,Eshamy Bay,3,72,0.75,ADFG WEB,9/13/2019,2019,,4,
115315,1707,0,0,6/8/2019,Wells,3,12,1,ADFG WEB,9/15/2019,2019,,4,
115316,1764,0,0,6/8/2019,Cochran Bay,3,16,2,ADFG WEB,8/8/2019,2019,,4,
115317,1783,0,0,6/8/2019,Valdez Arm,3,48,2,ADFG WEB,9/11/2019,2019,,4,
115318,1798,1,0,6/8/2019,Port Valdez,1,24,0,ADFG WEB,9/10/2019,2019,,4,
115319,1868,0,0,6/8/2019,Cochran Bay,2,24,1.5,ADFG WEB,10/4/2019,2019,,4,
115320,187,0,0,6/8/2019,cochran bay,3,24,4,ADFG WEB,10/3/2019,2019,,4,
115321,1870,0,0,6/8/2019,Cullross Bay,3,30,2,ADFG WEB,9/11/2019,2019,,4,
115322,191,0,0,6/8/2019,mink,3,12,2,ADFG WEB,9/23/2019,2019,,4,
115323,1944,0,0,6/8/2019,Esther rock,3,24,5,ADFG WEB,10/8/2019,2019,,4,
115324,2006,0,0,6/8/2019,galena bay,2,12,2,ADFG WEB,10/11/2019,2019,,4,
115325,2028,0,0,6/8/2019,Black stone bay,3,7,2,ADFG WEB,9/27/2019,2019,,4,
115326,2062,0,0,6/8/2019,Bainbridge East Arm Passage,2,22,1,ADFG WEB,10/14/2019,2019,,4,
115327,2077,0,0,6/8/2019,Pigot Bay,3,24,7.25,ADFG WEB,9/11/2019,2019,,4,
115328,2172,0,0,6/8/2019,Head of Passage Canal,3,48,1,ADFG WEB,9/16/2019,2019,,4,
115329,2184,0,0,6/8/2019,Blue Fjords,3,24,6,ADFG WEB,8/5/2019,2019,,4,
115330,2219,0,0,6/8/2019,Port of Valdez,3,24,0.1,ADFG WEB,10/12/2019,2019,,4,
115331,225,0,0,6/8/2019,Port Nelliwon,3,5,0.5,ADFG WEB,9/27/2019,2019,,4,
115332,2259,0,0,6/8/2019,Pigot bay,3,8,0.5,ADFG WEB,10/5/2019,2019,,4,
115333,2302,0,0,6/8/2019,Blackstone Bay,3,11,5.5,ADFG WEB,10/6/2019,2019,,4,
115334,2323,0,0,6/8/2019,Blackstone Bay,3,6,2,ADFG WEB,9/19/2019,2019,,4,
115335,2367,0,0,6/8/2019,Cochran bay,3,9,1.5,ADFG WEB,9/29/2019,2019,,4,
115336,2389,0,0,6/8/2019,.6 miles N of Pt. Nowell,3,19,0.25,ADFG WEB,9/16/2019,2019,,4,
115337,2438,0,0,6/8/2019,Bomb Pt.,3,26,1,ADFG WEB,9/13/2019,2019,,4,
115338,25,0,0,6/8/2019,Logging Camp Bay,3,48,6,ADFG WEB,8/27/2019,2019,,4,
115339,250,0,0,6/8/2019,Whale Bay,3,6,0.1,ADFG WEB,9/11/2019,2019,,4,
115340,2508,0,0,6/8/2019,Valdez Harbor,1,24,1,ADFG WEB,6/26/2019,2019,,4,
115341,261,0,0,6/8/2019,Pt Wells/Golden,3,12,1,ADFG WEB,9/21/2019,2019,,4,
115342,2618,0,0,6/8/2019,Blackstone Bay,3,7,0.5,ADFG WEB,9/29/2019,2019,,4,
115343,2621,0,0,6/8/2019,Cochrane bay,3,24,4,ADFG WEB,10/15/2019,2019,,4,
115344,2662,0,0,6/8/2019,McClure Bay,3,4,1,ADFG WEB,10/4/2019,2019,,4,
115345,2675,0,0,6/8/2019,Blackstone,3,6,2,ADFG WEB,9/27/2019,2019,,4,
115346,2702,0,0,6/8/2019,Shoestring cove,3,12,0.25,ADFG WEB,9/4/2019,2019,,4,
115347,28,0,0,6/8/2019,culross passage,3,24,5,ADFG WEB,9/17/2019,2019,,4,
115348,290,0,0,6/8/2019,Anderson Glacier,3,48,4,ADFG WEB,10/12/2019,2019,,4,
115349,320,0,0,6/8/2019,Blackstone,3,13,3,ADFG WEB,10/2/2019,2019,,4,
115350,373,0,0,6/8/2019,Long Bay,3,12,0.5,ADFG WEB,8/30/2019,2019,,4,
115351,482,0,0,6/8/2019,Blackstone Bay,3,7,2,ADFG WEB,9/22/2019,2019,,4,
115352,577,0,0,6/8/2019,Mink Island,3,20,8,ADFG WEB,10/14/2019,2019,,4,
115353,590,0,0,6/8/2019,Blackstone bay,1,8,20,ADFG WEB,8/6/2019,2019,,4,
115354,616,0,0,6/8/2019,Culross,3,24,4,ADFG WEB,9/26/2019,2019,,4,
115355,625,0,0,6/8/2019,Valdez Narrows,3,48,1.5,ADFG WEB,9/18/2019,2019,,4,
115356,627,0,0,6/8/2019,Culross,3,12,4,ADFG WEB,9/30/2019,2019,,4,
115357,69,0,0,6/8/2019,cochrane bay,3,18,2,ADFG WEB,9/5/2019,2019,,4,
115358,717,0,0,6/8/2019,port wells,3,24,6,ADFG WEB,10/3/2019,2019,,4,
115359,776,0,0,6/8/2019,Passage Canal,3,14,2,ADFG WEB,10/3/2019,2019,,4,
115360,782,0,0,6/8/2019,culross passage,3,30,1.6,ADFG WEB,9/24/2019,2019,,4,
115361,791,0,0,6/8/2019,Nellie Juan,3,9,2.5,ADFG WEB,10/8/2019,2019,,4,
115362,819,0,0,6/8/2019,Valdez narrows,3,24,1.5,ADFG WEB,10/15/2019,2019,,4,
115363,820,0,0,6/8/2019,Head of Bay,3,5,1,ADFG WEB,10/13/2019,2019,,4,
115364,924,0,0,6/8/2019,Suprise,3,14,2,ADFG WEB,9/10/2019,2019,,4,
115365,938,0,0,6/8/2019,Cochrin Bay,3,24,2,ADFG WEB,9/27/2019,2019,,4,
115366,950,0,0,6/8/2019,passage canal,3,24,2,ADFG WEB,9/26/2019,2019,,4,
115367,961,0,0,6/8/2019,Cochran Bay,3,7,1.5,ADFG WEB,9/14/2019,2019,,4,
115368,973,0,0,6/8/2019,Icy Bay,3,48,1.5,ADFG WEB,9/30/2019,2019,,4,
115369,98,0,0,6/8/2019,Cochran Bay,3,24,7,ADFG WEB,9/19/2019,2019,,4,
115370,1026,0,0,6/9/2019,passage canal,3,99,3,ADFG WEB,9/19/2019,2019,,4,
115371,1042,0,0,6/9/2019,pigot bay,3,12,5,ADFG WEB,9/29/2019,2019,,4,
115372,1054,0,0,6/9/2019,Passage canal,3,24,3,ADFG WEB,10/8/2019,2019,,4,
115373,1303,0,0,6/9/2019,Blackstone Bay,3,25,1.5,ADFG WEB,10/12/2019,2019,,4,
115374,133,0,0,6/9/2019,East of Point Lowe,3,60,2,ADFG WEB,9/24/2019,2019,,4,
115375,14,0,0,6/9/2019,Blackstone Bay,3,24,2,ADFG WEB,10/6/2019,2019,,4,
115376,1413,0,0,6/9/2019,West port wells,3,11,4,ADFG WEB,9/22/2019,2019,,4,
115377,145,0,0,6/9/2019,Blackstone Bay,3,3,2,ADFG WEB,10/15/2019,2019,,4,
115378,1500,0,0,6/9/2019,ESTER ROCK,3,4,1,ADFG WEB,9/23/2019,2019,,4,
115379,1585,0,0,6/9/2019,Blackstone bay,3,36,5,ADFG WEB,9/16/2019,2019,,4,
115380,1724,0,0,6/9/2019,vdz,3,48,2,ADFG WEB,10/2/2019,2019,,4,
115381,1750,0,0,6/9/2019,Eaglek,3,31,3,ADFG WEB,10/13/2019,2019,,4,
115382,1764,0,0,6/9/2019,Cochran Bay,3,16,1.5,ADFG WEB,8/8/2019,2019,,4,
115383,1768,0,0,6/9/2019,Blackstone bay east side,3,4,0.25,ADFG WEB,9/16/2019,2019,,4,
115384,1825,0,0,6/9/2019,Passage Canal,3,48,5,ADFG WEB,10/15/2019,2019,,4,
115385,1891,0,0,6/9/2019,NE cochrane bay,3,264,1,ADFG WEB,10/7/2019,2019,,4,
115386,191,0,0,6/9/2019,mink,3,12,3,ADFG WEB,9/23/2019,2019,,4,
115387,1934,0,0,6/9/2019,Passage Canal,2,10,0.25,ADFG WEB,9/23/2019,2019,,4,
115388,2062,0,0,6/9/2019,Jackpot Bay,2,21,1,ADFG WEB,10/14/2019,2019,,4,
115389,2077,0,0,6/9/2019,Pigot Bay,3,12,5,ADFG WEB,9/11/2019,2019,,4,
115390,2086,0,0,6/9/2019,"Port Wells, east of Esther Island",3,0,0.25,ADFG WEB,9/29/2019,2019,,4,
115391,2184,0,0,6/9/2019,Blue Fjords,3,24,5,ADFG WEB,8/5/2019,2019,,4,
115392,225,0,0,6/9/2019,Port Nelliwon,3,4,0.5,ADFG WEB,9/27/2019,2019,,4,
115393,2302,0,0,6/9/2019,Blackstone Bay,3,15,4,ADFG WEB,10/6/2019,2019,,4,
115394,2323,0,0,6/9/2019,Blackstone Bay,3,22,6,ADFG WEB,9/19/2019,2019,,4,
115395,2367,0,0,6/9/2019,Black stone bay,3,9,0.5,ADFG WEB,9/29/2019,2019,,4,
115396,2367,0,0,6/9/2019,Wells passage,3,5,0.25,ADFG WEB,9/29/2019,2019,,4,
115397,2379,0,0,6/9/2019,port of Valdez,3,24,0.25,ADFG WEB,8/27/2019,2019,,4,
115398,2389,0,0,6/9/2019,.75 S of Granite Pt.,3,18,0.25,ADFG WEB,9/16/2019,2019,,4,
115399,246,0,0,6/9/2019,Eshamy bay,3,8,0.5,ADFG WEB,10/7/2019,2019,,4,
115400,2497,0,0,6/9/2019,College Fiord,3,26,9,ADFG WEB,10/9/2019,2019,,4,
115401,250,0,0,6/9/2019,Whale Bay,3,6,0.5,ADFG WEB,9/11/2019,2019,,4,
115402,2508,0,0,6/9/2019,Valdez Harbor,1,24,0.5,ADFG WEB,6/26/2019,2019,,4,
115403,2621,0,0,6/9/2019,Cochrane bay,3,14,2,ADFG WEB,10/15/2019,2019,,4,
115404,2662,0,0,6/9/2019,McClure Bay,3,18,2,ADFG WEB,10/4/2019,2019,,4,
115405,2675,0,0,6/9/2019,Passage cannel,3,6,2,ADFG WEB,9/27/2019,2019,,4,
115406,2698,0,0,6/9/2019,Schoppe Bay,2,12,0.25,ADFG WEB,9/29/2019,2019,,4,
115407,2709,0,0,6/9/2019,Blackstone Bay,3,8,2,ADFG WEB,9/23/2019,2019,,4,
115408,286,0,0,6/9/2019,Whittier/Bird Rookery,3,7,0.25,ADFG WEB,9/15/2019,2019,,4,
115409,297,0,0,6/9/2019,Valdez Narrows,3,48,0.5,ADFG WEB,9/30/2019,2019,,4,
115410,323,0,0,6/9/2019,COCHRAN,3,8,1,ADFG WEB,9/3/2019,2019,,4,
115411,396,0,0,6/9/2019,Mineral Creek,3,24,0.3,ADFG WEB,10/9/2019,2019,,4,
115412,427,0,0,6/9/2019,North Culross Passage,3,16,3,ADFG WEB,9/25/2019,2019,,4,
115413,449,0,0,6/9/2019,Eaglik Bay,3,12,0.5,ADFG WEB,9/2/2019,2019,,4,
115414,475,0,0,6/9/2019,Passage cannel,3,72,1,ADFG WEB,9/29/2019,2019,,4,
115415,531,0,0,6/9/2019,Passage Canal,3,12,3,ADFG WEB,10/13/2019,2019,,4,
115416,533,0,0,6/9/2019,Culross Passage,2,8,2,ADFG WEB,10/13/2019,2019,,4,
115417,581,0,0,6/9/2019,Pt Cochrane,1,350,25,ADFG WEB,9/11/2019,2019,,4,
115418,606,0,0,6/9/2019,Eleanor Island,3,68,2.5,ADFG WEB,10/13/2019,2019,,4,
